transaction_external_id,amount,card_brand,billing_country,ip_address,device_type,email_domain,card_country,created_at,is_fraud
tx_1000000,74.46,MASTERCARD,USA,7.140.125.58,desktop,gmail.com,USA,2026-06-13T07:30:26.787084+00:00,0
tx_1000001,39.93,VISA,FRA,140.44.216.9,mobile,hotmail.com,FRA,2026-06-07T23:39:00.787084+00:00,0
tx_1000002,28.95,VISA,USA,155.13.101.184,desktop,yahoo.com,USA,2026-07-02T23:50:12.787084+00:00,0
tx_1000003,77.9,VISA,USA,72.3.81.179,mobile,gmail.com,USA,2026-06-27T01:18:55.787084+00:00,0
tx_1000004,19.03,VISA,GBR,196.172.52.24,desktop,yahoo.com,GBR,2026-06-24T23:34:52.787084+00:00,0
tx_1000005,11.89,VISA,USA,155.135.22.187,mobile,gmail.com,USA,2026-06-28T20:12:09.787084+00:00,0
tx_1000006,25.52,MASTERCARD,USA,97.40.150.213,desktop,gmail.com,USA,2026-06-24T02:16:09.787084+00:00,0
tx_1000007,34.39,VISA,DEU,12.116.148.253,desktop,yahoo.com,DEU,2026-06-10T09:53:53.787084+00:00,0
tx_1000008,56.08,,USA,98.142.232.163,tablet,hotmail.com,USA,2026-06-24T05:59:39.787084+00:00,0
tx_1000009,7.3,AMERICAN EXPRESS,DEU,172.136.36.156,mobile,acme.com,DEU,2026-06-14T20:19:29.787084+00:00,0
tx_1000010,40.82,VISA,USA,119.194.138.254,mobile,gmail.com,USA,2026-07-03T13:49:38.787084+00:00,0
tx_1000011,34.08,VISA,USA,197.28.117.211,desktop,hotmail.com,USA,2026-06-08T02:20:00.787084+00:00,0
tx_1000012,23.72,VISA,GBR,17.108.161.55,mobile,hotmail.com,GBR,2026-06-30T18:34:49.787084+00:00,0
tx_1000013,83.41,MASTERCARD,USA,118.73.135.36,desktop,gmail.com,USA,2026-06-18T12:16:32.787084+00:00,0
tx_1000014,63.26,VISA,USA,192.219.204.93,desktop,gmail.com,USA,2026-06-17T04:27:39.787084+00:00,0
tx_1000015,119.57,MASTERCARD,USA,127.46.24.221,mobile,gmail.com,USA,2026-06-11T20:41:03.787084+00:00,0
tx_1000016,65.18,MASTERCARD,USA,175.216.32.99,mobile,gmail.com,USA,2026-06-25T01:33:09.787084+00:00,0
tx_1000017,24.45,VISA,USA,65.5.58.175,desktop,gmail.com,USA,2026-07-02T14:32:58.787084+00:00,0
